,Category
0,2
1,2
2,2
3,2
4,1
5,1
6,2
7,2
8,1
9,2
10,1
11,2
12,2
13,2
14,2
15,1
16,2
17,2
18,2
19,2
20,1
21,2
22,2
23,1
24,2
25,1
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,1
48,2
49,1
50,2
51,2
52,2
53,2
54,1
55,2
56,2
57,2
58,1
59,2
60,1
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,1
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,1
81,2
82,1
83,3
84,1
85,2
86,2
87,1
88,2
89,2
90,2
91,1
92,2
93,2
94,2
95,2
96,1
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,1
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,1
117,2
118,2
119,2
120,1
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,1
138,1
139,2
140,1
141,2
142,2
143,2
144,2
145,2
146,1
147,2
148,2
149,2
150,3
151,1
152,2
153,2
154,2
155,1
156,1
157,2
158,2
159,2
160,2
161,2
162,2
163,2
164,2
165,1
166,2
167,2
168,2
169,2
170,2
171,2
172,1
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,1
195,2
196,2
197,2
198,3
199,2
200,2
201,2
202,2
203,2
204,2
205,1
206,2
207,2
208,3
209,2
210,1
211,2
212,2
213,2
214,2
215,2
216,2
217,2
218,2
219,2
220,2
221,1
222,2
223,2
224,1
225,2
226,2
227,2
228,2
229,1
230,2
231,2
232,2
233,2
234,1
235,1
236,2
237,2
238,1
239,1
240,2
241,2
242,1
243,2
244,2
245,2
246,2
247,2
248,2
249,2
250,2
251,2
252,2
253,1
254,2
255,2
256,2
257,2
258,2
259,2
260,2
261,2
262,2
263,2
264,1
265,2
266,2
267,1
268,2
269,2
270,2
271,2
272,2
273,2
274,2
275,2
276,2
277,2
278,2
279,2
280,2
281,2
282,2
283,2
284,2
285,2
286,2
287,3
288,1
289,2
290,1
291,2
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,2
495,2
496,2
497,2
498,2
499,2
500,2
501,2
502,2
503,2
504,2
505,3
506,3
507,3
508,3
509,3
510,3
511,3
512,3
513,3
514,3
515,3
516,3
517,3
518,3
519,3
520,3
521,3
522,3
523,3
524,3
525,3
526,3
527,3
528,3
529,3
530,3
531,3
532,3
533,3
534,3
535,3
536,3
537,3
538,3
539,3
540,3
541,3
542,3
543,3
544,3
545,3
546,3
